City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,el idrissia,34.4454,2.5275,21.75,45,73,1.25,DZ,1715635460
258,maceio,-9.6658,-35.7353,26.69,89,75,1.54,BR,1715635372
259,hirara,24.8,125.2833,23.15,78,100,7.2,JP,1715635460
260,magadan,59.5667,150.8,3.63,93,100,1.95,RU,1715635460
261,nianzishan,47.5167,122.8833,8.73,57,19,3.5,CN,1715635461
262,chernyshevskiy,63.0128,112.4714,2.38,92,100,3.41,RU,1715635461
263,chifeng,42.2683,118.9636,15.46,56,95,1.87,CN,1715635358
264,alofi,-19.0595,-169.9187,26.94,78,100,8.23,NU,1715635461
265,akureyri,65.6835,-18.0878,3.96,81,100,4.12,IS,1715635462
266,kaitong,44.8135,123.15,16.39,49,100,4.33,CN,1715635462
267,limon,10.0,-83.0333,28.36,89,100,2.06,CR,1715635462
268,karratha,-20.7377,116.8463,23.78,75,0,2.61,AU,1715635463
269,susuman,62.7833,148.1667,-0.01,84,100,3.58,RU,1715635463
270,mirny,62.5353,113.9611,1.24,99,100,1.79,RU,1715635463
271,ormara,25.2088,64.6357,27.8,80,0,1.32,PK,1715635463
272,ruteng,-8.6136,120.4721,16.24,93,13,0.85,ID,1715635464
273,jaguaruna,-28.615,-49.0256,17.24,88,100,7.64,BR,1715635464
274,aberdeen,57.1437,-2.0981,11.78,94,100,3.6,GB,1715635179
275,kievka,50.2619,71.5514,17.37,44,64,7.22,KZ,1715635464
276,san patricio,28.017,-97.5169,29.36,49,34,4.89,US,1715635465
277,st. john's,47.5649,-52.7093,9.88,92,100,2.57,CA,1715635322
278,luganville,-15.5333,167.1667,25.92,84,100,3.9,VU,1715635465
279,chamalieres,45.7756,3.0631,17.4,68,0,6.69,FR,1715635177
280,fortaleza,-3.7227,-38.5247,30.04,89,40,4.63,BR,1715635411
281,waitara,-38.925,174.25,13.05,84,99,2.65,NZ,1715635466
282,vorgashor,67.5833,63.95,-5.11,85,95,3.61,RU,1715635466
283,saint-georges,12.0564,-61.7485,29.82,74,40,6.17,GD,1715635465
284,bel ombre,-4.6167,55.4167,28.91,79,20,2.57,SC,1715635466
285,poronaysk,49.2167,143.1167,4.54,85,59,1.72,RU,1715635467
286,puerto san jose,13.9256,-90.8244,32.03,58,75,4.12,GT,1715635467
287,liberty,31.8335,-81.5004,22.06,47,75,4.12,US,1715635306
288,byron bay,-28.65,153.6167,13.73,79,38,3.9,AU,1715635467
289,la vega,19.2221,-70.5296,34.47,59,2,3.81,DO,1715635321
290,morehead city,34.7229,-76.726,23.01,70,0,4.12,US,1715635468
291,markala,13.7021,-6.0659,37.85,23,69,6.26,ML,1715635468
292,zelenogorskiy,55.0333,87.0,8.72,70,0,1.24,RU,1715635468
293,gisborne,-38.6533,178.0042,11.14,68,68,2.84,NZ,1715635468
294,ust'-kulom,61.6864,53.6902,-3.03,96,80,2.46,RU,1715635469
295,porto novo,6.4965,2.6036,28.9,81,100,3.09,BJ,1715635469
296,tondano,1.3038,124.9112,20.05,96,66,0.29,ID,1715635469
297,salinopolis,-0.6136,-47.3561,27.19,84,76,4.3,BR,1715635469
298,wakkanai,45.4094,141.6739,8.38,89,6,9.34,JP,1715635470
299,rudbar,30.15,62.6,29.96,10,8,4.39,AF,1715635470
300,cabo san lucas,22.8909,-109.9124,30.9,50,0,3.6,MX,1715635470
301,vila franca do campo,37.7167,-25.4333,16.23,78,24,3.52,PT,1715635470
302,sidhi,24.4167,81.8833,31.53,26,54,1.3,IN,1715635471
303,sao joao dos inhamuns,-6.0,-40.2833,27.5,52,11,5.04,BR,1715635471
304,fort st. john,56.2499,-120.8529,15.94,25,75,6.69,CA,1715635471
305,dolores,-36.3132,-57.6792,8.46,71,65,3.05,AR,1715635471
306,tabuk,17.4189,121.4443,23.91,92,35,1.16,PH,1715635471
307,lautoka,-17.6167,177.4667,23.92,83,75,1.54,FJ,1715635472
308,arauco,-37.2463,-73.3175,9.28,72,1,0.83,CL,1715635472
309,lauro de freitas,-12.8944,-38.3272,28.01,74,0,2.06,BR,1715635183
310,la'ie,21.6477,-157.9253,27.98,82,11,1.34,US,1715635472
311,lompoc,34.6391,-120.4579,24.27,78,100,4.63,US,1715635473
312,medina de rioseco,41.8833,-5.0441,12.47,93,100,5.42,ES,1715635473
313,coyhaique,-45.5752,-72.0662,5.34,70,0,2.57,CL,1715635473
314,lecheng,25.1238,113.3254,17.47,81,0,0.24,CN,1715635473
315,totness,5.8833,-56.3167,27.87,74,69,4.34,SR,1715635474
316,olbia,40.9214,9.4856,18.03,88,0,1.03,IT,1715635474
317,usinsk,65.9939,57.5281,-3.29,94,100,6.71,RU,1715635474
318,merowe,18.4833,31.8167,32.15,14,3,10.36,SD,1715635474
319,uturoa,-16.7333,-151.4333,27.58,78,52,8.68,PF,1715635475
320,morden,49.1919,-98.1014,15.6,44,92,4.12,CA,1715635211
321,kavalerovo,44.2661,135.0572,11.97,76,84,1.34,RU,1715635475
322,ryotsu-minato,38.0833,138.4333,10.9,79,7,1.94,JP,1715635475
323,ilek,51.5271,53.3831,4.69,69,20,3.43,RU,1715635476
324,islamkot,24.6997,70.177,27.57,65,0,4.04,PK,1715635456
